id;uuid;short_name;description;form_text;version;is_set
1;c02a6c4f-84d6-47cd-8b60-9c09d85a2cb2;Credit Card Account approach Computers;eco-centric;Developer Function-based Identity;Rustic;true
2;a980cb22-c9d0-46ed-bbc9-7d358725e773;Awesome Frozen Pants;Handmade Wooden;Realigned Executive innovative;Dam Colorado;false
3;124dcb28-6d2c-468c-8476-16bce157dbb8;olive Personal Loan Account New Hampshire;e-commerce calculate brand;Incredible Frozen Bike;circuit Idaho Analyst;true
4;1e9b5468-447a-41b0-aec6-825577064071;Borders Tasty;Chief Awesome Guinea;green;Wisconsin Berkshire;false
5;a17b7278-a5cc-4948-b5f1-96acbc7b5324;Directives;Business-focused;Towels;action-items;true
6;8ba4e61f-5071-46db-b649-3255d00b6984;payment blue;Florida Rubber;Generic Concrete Shoes;program;false
7;36f81ccd-1ad6-49e7-9cd2-ba8eb61d4f2d;mint green Technician Fall;bypassing B2C;Cotton Licensed compressing;XML compressing;true
8;44daa7c4-873c-4943-92d7-eebcd7699dcf;24/7 Investor;architect;Concrete Sports Administrator;monitoring;true
9;9486cf13-3fe0-4023-b1ef-a949aa6ea12c;Maryland Intelligent Granite Sausages;microchip;systemic;Malagasy Ariary;true
10;ee6a0ba1-8705-4f13-a4c8-04e244f208f7;payment Dynamic;Unbranded;driver 1080p Wisconsin;Integration lavender;true
