id;uuid;handler
1;8b067f0f-1609-42a9-8a34-bfd4e5abbf6f;Generic payment
2;8360e9ed-3a19-405c-969c-f9198ec3f5c0;black Computer Fantastic Rubber Cheese
3;fad35006-04cb-4daf-bff6-64b4fd0b7623;Customizable Cotton
4;68e84d6d-55c1-4fa2-9096-460c91f5b01f;Program parsing
5;d95d7898-00cd-48a5-8267-e5772235e6b3;Ridges Colombian Peso Unidad de Valor Real generating
6;4d319992-25e7-4765-815c-e959aedef098;Wyoming Moldovan Leu Handmade
7;6337447e-45b6-4694-aef4-35cbe8f6ef5a;Sleek transmitter
8;cbd7612a-0f5e-425a-9c21-af07e31e4684;plug-and-play Rustic
9;6abd62b7-c293-4804-a2e5-7ab6fa2344e1;Practical Plastic Shoes green
10;4c2d914a-088a-45ab-8061-8642274fd791;Walks black
