id;uuid;description;locale
1;121daebb-a5fe-49dd-9162-45af2a4704a2;Checking Account;Intelligent Lake hacking
2;0085384c-eff9-4c39-a2d9-353660874455;Unbranded Steel Ball Senior;enhance Garden Intelligent Granite Shirt
3;f0450e44-3dc7-4369-9f9a-5c2c21227377;Spain;brand Forge
4;a0a9c534-cfcb-4344-8053-32d3ac6bce5b;RAM magenta payment;quantify strategize
5;244cc794-6478-4fcf-a8ff-3eb9110186c9;deposit Unbranded incentivize;Representative quantifying PNG
6;c95ede22-69e6-4077-9ad9-9aeab73efe9c;innovative Handcrafted Plastic Chicken unleash;New Jersey
7;1a86ff88-4718-4815-8096-48e481f3b42e;Platinum Health;matrix hack
8;f50d88ed-8167-42e4-b0bf-630e504d9fc4;wireless Bacon;copying Berkshire Intelligent Fresh Pizza
9;9caf737a-4a7b-42a1-abad-5bf637decb1f;customer loyalty;Identity Walks Cambridgeshire
10;6885edee-420d-447c-b562-769e6405f61a;Granite Rustic Wooden Shoes;Home Loan Account Plastic
