id;uuid;name;locale;concept_name_type
1;a407ede8-d50e-4616-bfb8-2b19aa640ee1;Baby RAM;Beauty Supervisor optimize;hack JSON Unbranded
2;96dcfcfe-99f2-4119-bde9-1698454fc1e2;Philippine Peso Fresh card;challenge Configuration;Tasty deliverables recontextualize
3;ad7e3829-99b2-47eb-854f-29253063de50;Intelligent Metal Towels Chair;framework Face to face;synergy Cambridgeshire
4;0ee210cb-376f-40c5-98fa-2119b4397daf;generating Dalasi systems;Berkshire;Mountains
5;c70d5fdd-390f-48e7-a178-2e691a5b7239;Rubber;e-enable program bus;invoice withdrawal Zambian Kwacha
6;2e87695e-c104-4c08-ab7f-57302295a75c;HTTP deposit Fantastic;HDD;Investor
7;22be43de-6163-4631-8582-8178a8368f4b;Practical Wooden Towels circuit;Cape Verde;copying olive
8;566aad5a-67db-4f94-b4e8-d90ed27f5d54;Ergonomic calculating New Jersey;migration salmon;Visionary Cambridgeshire
9;5515ec80-259a-4671-a1ea-64d5ac554a5b;Human Product;Road EXE;Cotton
10;b2d8ef1c-6310-4868-b34c-fb37461be6f3;quantify Avon;override mobile Chips;withdrawal
