id;uuid;hi_absolute;hi_normal;hi_critical;low_absolute;low_normal;low_critical;units;precise
1;b5a5ea48-d284-49b1-b18c-e0a94f23fa88;13435;14399;258;36237;49873;59128;multi-byte Baby Forward;true
2;d6c056a6-62e3-48a8-883e-7aedb7dc00f4;26102;50768;33863;67473;33008;26016;Turkish Lira;true
3;859c9e25-def8-485d-8d4b-b18ca5d1d63e;46942;24625;70216;95802;60637;95410;encryption;true
4;93be4d1b-b415-4ebd-ab88-40b7721bea8e;10686;27154;87367;26630;92141;99495;Rubber plug-and-play Chief;false
5;8c715add-e0cc-470d-85f1-f7b84a464fed;62585;43968;78189;33664;62123;29898;Stream;true
6;7494ec2c-c44c-480c-8681-4e8ac15f567e;58238;72859;59011;13678;53087;74024;Checking Account dot-com navigate;false
7;5908bc8b-11d3-4714-8c6f-686ea2d1d075;57925;42391;99470;4192;3222;69455;Borders neural deposit;true
8;5531dda5-c2ed-41f3-84f1-bd7f80e47af5;89461;55478;58903;54979;91505;91817;Metical Gorgeous;false
9;ff18269c-a7c1-4f0f-bc60-2b633e85a709;9575;81659;74619;23663;29647;41084;mobile encoding 1080p;true
10;40ce9fa5-8a70-430b-97cf-f4a3b5d7b557;65241;14124;4945;67570;95989;38833;Wooden;false
