id;uuid;encounter;original_text;final_text;obs_uuid;obs_concept_uuid;state;comments;locale
1;f98e7166-ca0d-484a-8502-3a8616babd6a;0e4a51f8-2c45-4620-a374-811fb12b3334;HDD orchestrate;Assimilated Designer Sri Lanka Rupee;7d098a5a-5bb1-4cd5-9e01-0d5d24f91722;b6cdfb70-c58a-4f46-b0b1-592f98e70d81;Borders bypass;USB viral;Station Ergonomic port
2;d6a1dae5-821a-47a4-9774-3986c499fd12;30c9978f-c180-421b-ab4c-fc9499673d8c;Adaptive;matrix projection;dde4bc77-c1e8-4891-b9fa-688f669bc335;c8630db7-75ed-4a27-80ba-7ab3d7b7f5c9;Personal Loan Account;Granite;metrics
3;e9987451-e278-489e-a6da-51d73b19dca6;8c360f96-1b5a-4db3-ae91-53a99a08ccf5;Chief;intranet West Virginia asynchronous;8f85bcca-5a5d-4073-af66-a4952b85faf0;ebf0adfa-cb29-41eb-9f12-1726011a3d52;Versatile Lead;Pants;withdrawal Cook Islands user-facing
4;1989620a-6e1f-4742-bf19-b7da74051483;f6448abe-868b-4ec5-9f67-a7666ea0dece;CSS wireless Row;Berkshire customer loyalty;1d3ac7a7-2bb0-4eb9-97cc-49f9cd29e4a0;b8ec3d74-b3c3-44fb-9188-93a02e2081e2;Kentucky Steel;Facilitator New York;Movies capacitor
5;5ea7095b-ed0d-4000-b794-8290ee0fae2c;d097a7a4-9063-4a0d-aa3b-0586f268fc12;utilize Optional;invoice silver;db86ab53-b670-41d4-9727-77e599633125;c59f71c5-69dd-42c0-b282-7b891559605a;Rubber;Iceland Krona Buckinghamshire Circles;Persevering
6;ab47d050-f556-4f5f-adc8-f191c42ca4c7;87de73c4-3b42-4d5f-b0c5-4e16f37e2ea9;schemas Shoes;Multi-layered metrics Wyoming;0b76b230-d307-40e2-896e-99a3a04af27e;e6a6a2bd-f97a-4c3e-a3ec-c6918a39da9c;Texas;navigate;initiatives
7;5db99a28-0d71-4a92-9c01-a21bbe3ffa18;70fa2530-8a02-40ec-9b48-2457d8fefe3d;Berkshire Gold;Dynamic compelling;3b9b6255-436f-4a80-bb0e-03402b3ab191;526e65e6-af9f-4abc-a522-ba13c8287d3f;cyan Soft transparent;hardware Hong Kong deploy;Puerto Rico
8;d5ec9958-c447-4a1d-a256-ca86e69f392b;b77fbce1-1a37-48c6-8c13-bff6f80b0ff1;best-of-breed Berkshire;withdrawal;7adfc999-5d42-4ffd-b3f2-5ef840140c65;ffbdd6cc-fe4f-48c1-bf5a-441ea25061ee;Oklahoma;Executive JBOD;Reverse-engineered
9;5fe943fa-8820-46b4-8394-5ffb4d70127e;0c4a38a7-ffed-4092-8537-6363a614accd;Human;Credit Card Account Indiana;a4494ce4-4159-4092-b199-22694a9cd19c;b197ed3f-8de3-4c31-a1e7-d7d6d405499f;workforce auxiliary;parse;Self-enabling bus
10;711d98a5-bbd9-46a1-b774-fdd266df4f5e;a293df6f-9c4e-4eb4-87e3-1df86180d964;JBOD Cayman Islands Dollar reboot;back-end;298b8eac-a5ac-4825-b79e-c506761e3f06;6f3ba357-940d-463f-a5da-973e58dbf5d9;B2B uniform Ergonomic Cotton Gloves;Steel;Gloves Profound Metal
