id;uuid;name;description;hl_7_code
1;7b181a7e-3d7b-482b-9928-b2de565502f3;Borders;Planner;Inlet
2;6d87b663-a5db-47b6-ae89-4d2d13c1001f;Bond Markets Units European Composite Unit (EURCO);customer loyalty;homogeneous Senior Somoni
3;842449c9-1e29-4433-b1e4-a6d03100d141;Implemented;collaborative Specialist;networks
4;e9e7a868-9c5a-4200-8e33-f7c4c8270090;Wyoming Investment Account;RAM connect;azure Concrete
5;3fe40583-08ad-4d5e-8ae0-3145a30a691d;Metrics;zero defect;optical
6;8c1568d4-5beb-4e25-905e-b199361b2e84;system Gorgeous Steel Pants navigate;Officer teal;Maine Practical Cotton Gloves
7;b529b6bd-9aec-44fe-aa69-0d2a9177e4fc;revolutionary Global;Solutions incubate;Bosnia and Herzegovina West Virginia e-commerce
8;3a4815f2-4aa5-47a0-9748-9a86ba9f811a;Buckinghamshire Sleek CFA Franc BEAC;Bike;haptic deposit
9;88e4ac82-9cb1-4f0e-87b9-31b4af1e56aa;lime HDD;reboot turn-key;matrix calculate
10;e7774ccd-2260-4ca1-a558-0000250471c8;Licensed Fresh Chips Chicken Pizza;Programmable;fresh-thinking
