id;uuid;word;locale
1;978dc276-7a16-449c-95b5-439a89b12f74;Cambridgeshire web-enabled;CSS blue Assistant
2;b2c0151c-5a62-46e9-8b41-8e154f71fb87;strategic Persevering Refined;Optimized
3;b856e644-9efd-4c39-beec-73623999eddd;clicks-and-mortar parse Computer;Planner Factors
4;936d1912-ad41-43d3-89a0-cbfcaac63af8;Handcrafted Metal Towels Rustic Granite Ball Kyat;matrix
5;dd49ab75-2311-44f8-89a1-e2a4a3dd1fba;Liberian Dollar utilisation;e-tailers
6;17fc0f9b-be30-4225-af50-f81fa75b73f7;driver;Berkshire sensor Credit Card Account
7;0e1cdd46-e969-4640-bb22-7d85cdca7f90;Assimilated;payment Consultant
8;3818c39b-4e27-4e68-85db-6bd51d7cc1c2;Massachusetts TCP proactive;payment world-class product
9;2cc36ba6-df6c-465f-9bcc-cdc057739866;JSON Iraqi Dinar;Grocery 24/7 Handmade Fresh Chips
10;44505ba0-4252-4516-8510-8562a219f5aa;Ball Tasty cohesive;Horizontal Kenya
