id;uuid;word;locale;weight
1;4a420cc0-63e2-41b0-8f8a-aa3bd6e1342a;Reduced;Angola;14846
2;b7aad635-b175-4c2b-b290-1e49a8e827a8;leverage Intelligent Plastic Gloves platforms;Generic Metal Bacon Isle Spain;41816
3;52b7ff0c-4cde-4ce9-b861-1b50b839aea7;Director Soft;Human global;75222
4;23993750-7008-4fad-a4eb-024ee2d2e262;generating Montenegro;azure Refined Metal Cheese;74317
5;e06bd058-74f3-4a4f-9295-a62a20a10899;Frozen Ergonomic Granite Salad Sausages;alarm Surinam Dollar;31024
6;b033ac65-0842-41e8-ae79-3f2ecc5de7ba;superstructure;invoice feed Lari;53629
7;05465045-2458-4447-90e8-4afe7a159189;Regional Granite;deposit firmware markets;4178
8;9ec51ee3-3373-4137-8d48-0dde6192f627;compressing Unbranded;Vatu emulation parse;13521
9;8cb60cf7-f97a-484a-92db-d72619e944df;Canadian Dollar;bus;44178
10;e6411c6f-cd0d-41f2-9375-41b34074bca1;Generic Plastic Tuna Shoes Auto Loan Account;synthesize Austria teal;82938
