id;uuid;name;combination;dosage_form;dose_strength;maximum_daily_dose;minimum_daily_dose;route;units
1;4987444f-a818-47a5-9439-4c09229decf0;SMS Coordinator Solutions;false;84810;82290;5517;98891;68710;Profit-focused haptic Diverse
2;3f7b6f04-e4dc-4001-89ee-a0fc0d9b8536;microchip Identity Switchable;false;10558;86162;65331;77106;98340;Trinidad and Tobago Dollar
3;1ded3a26-8289-4373-a466-8d74fae114e9;Rubber Iceland Krona hard drive;true;16395;36519;21198;16954;70879;black Unbranded
4;c64d2a17-7154-4778-a7d2-da12125f3503;white Movies Knolls;true;85893;48579;92363;88726;12093;Handmade Cotton Towels Florida
5;57f0d6fe-827d-4f51-bcbe-7cce7fe90ee6;Ergonomic Metal Cheese Cape Verde Escudo;true;54383;19227;7265;10974;66638;Djibouti Soft Tasty Steel Hat
6;56b615ef-6a5a-4642-9609-29d1ac4ac0d8;Administrator;false;16094;74707;27661;54742;80039;firewall Chicken
7;e8d4b63f-4828-4eba-a9ec-7e9f979fa202;capacitor;false;81800;8958;76381;51753;59902;bi-directional Brooks
8;4bd99968-826c-423e-830f-564716b458e9;payment online global;false;77366;11048;95478;94149;26545;De-engineered
9;b5bed61d-7db4-4922-913f-8fa28cf8e382;application Fresh Yen;false;98713;53879;27208;32453;78551;plug-and-play
10;0f1db40b-d088-4563-8e02-d3db828d2f9e;Baby Plastic;true;10704;50577;64582;79238;11988;cross-platform portals
