id;uuid;name;description;concept_uuid;table_name;attributes_name;default_value;select_multiple
1;1e6712f2-8fdd-4102-976b-f152464e9138;Regional client-driven Fantastic;orchid Sports;2347ef65-a273-4c90-8d89-65ed079e7e10;invoice Junctions Plastic;Unbranded Frozen Gloves;Executive Specialist;false
2;ad00fd63-c3c9-4205-b57c-b7c24fe6e000;Investment Account Pants;models interface;d3feb6de-f9e4-4a4d-9755-ad68d68766e8;SSL blue;Borders Cambridgeshire;deposit protocol;false
3;1502416e-2a9d-4f8d-a420-073b2755aa2e;payment;artificial intelligence;d49878e2-1ed2-4323-a0f3-78ffb56ea358;index synthesize Borders;Cotton Multi-lateral;Berkshire;true
4;c6816e42-596d-47ec-8252-67d1efb950e2;haptic;Licensed Rubber Soap Awesome mint green;0cba61fd-16ba-4360-a2a3-6681bb18e056;Officer Central Manager;Ergonomic Legacy;Representative;false
5;165cf180-606f-457c-9c80-890a364e7009;Games Mozambique Organized;backing up;86a81357-ddd2-49b4-a4ae-a6a33812eaf3;syndicate;Chile repurpose;Tools;false
6;b4a3855d-c525-453d-af94-378ecd451707;applications Representative;Tools synergize;d10858a8-4c73-4b23-b53e-cf1c5a35ff80;Steel;scale bandwidth Home Loan Account;Rubber;true
7;39cc2e61-817e-4ff3-89cf-df0e1aded0f2;Turnpike Berkshire;Dynamic AGP;2f25b677-9bb5-4d29-a606-ddaa19146e05;Human Kansas digital;killer bus;Borders;true
8;9fdb1dbf-8417-4a10-9700-2c2afb6cc1fe;Up-sized Turkish Lira;Factors Handcrafted;5ca0f0eb-79d3-4762-b7c4-de1b873b141e;Iowa Tactics redundant;Enhanced Borders;synergies AGP;false
9;528360c0-1801-4e31-8f06-fa3dd67f0581;Soap transmit Nuevo Sol;Computer;10906514-08fc-4eaa-b41f-3445e8373380;hacking Handmade;matrices Licensed Plastic Table;connecting Computer;false
10;0787ee89-6b04-4808-bf32-9c70110b86ee;AI Practical Frozen Cheese;Practical;341cb701-f37c-4ff9-b53d-034b26fa1910;human-resource;Intelligent Comoros;programming;false
