id;uuid;name;description;is_set
1;24359725-e39d-4d42-a2b2-1c483086e03a;Baby;Automotive;true
2;800ecd95-40ef-488e-8142-83f7a4907b87;Ridges;platforms;false
3;89667c09-41d5-4886-8942-552f4d4d103d;Buckinghamshire Kids;deposit;false
4;09c887fd-91f7-4ed9-8360-ce073ed86974;Ball Bedfordshire Lebanese Pound;feed overriding AI;false
5;f53211e3-68eb-4385-b393-2984c57619eb;United Arab Emirates;grey Forint;false
6;515a6c31-ab1c-4305-af86-3d516c9a7580;Liaison Engineer hacking;Metal orange Investment Account;true
7;7ee339fe-0f72-4f84-9124-360b4ccfba13;utilize;Refined;true
8;2bf4cbd2-c174-428d-a6c3-7348df21c93e;Security pixel payment;Ports Savings Account;false
9;604cd753-ff40-40ff-b400-329108d92a33;visionary;mesh Diverse gold;false
10;d6fef9c1-53aa-45be-bab4-ec0f3a386050;Idaho Multi-lateral Sausages;optimizing New York;false
