id;uuid;name;field_number;field_part;page_number;min_occurs;max_occurs;is_required;sort_weight
1;41b40482-798c-4fc6-95fe-ff90ce85bbd9;Soft yellow;74955;Practical Buckinghamshire Consultant;27944;22489;26643;true;75056
2;af799375-497a-4d4c-b3f2-48e3aa79eb42;Executive Persevering;63636;French Polynesia redundant;60421;18559;35494;true;27147
3;9efdd9c9-6293-4d73-932d-fc4b95e76755;Strategist;53185;Buckinghamshire Shoes Reactive;84786;14943;47079;true;27651
4;c7e74aa9-d9dc-49ad-82d5-8fb0b96581a7;Singapore;73741;visualize bi-directional;62418;54483;92118;true;85776
5;d5de6878-7012-4b79-93e4-9e44da4f4847;West Virginia;57892;static;10898;33269;32828;false;77833
6;6872d849-25af-4ad1-b550-f66c847a03ef;calculate;45586;Incredible Croatian Kuna;20485;58546;8;true;7533
7;9ec73512-2d7c-44f2-a981-5060d0f3e04c;Auto Loan Account Cheese;91378;Personal Loan Account;13594;32116;16089;true;60133
8;0ff62687-335a-4d87-8cdd-5245a7ebebb1;Central;82903;web services;80797;25093;106;false;54361
9;372f1e70-66d7-408a-883f-8ad71382ac29;Stand-alone;72840;back-end azure sensor;91935;75892;14770;true;69198
10;ed7485e3-b934-4aeb-857f-4fa8e94ca142;scale Money Market Account Profit-focused;76976;Orchestrator Haiti;61985;97052;73445;true;30805
